normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
melioidosis,Melioidosis,1,Kapha,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5315174940302958,0.5315174940302958,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7481517494030295,0.7481517494030295
meniere s disease,Meniere's Disease,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5896991381737691,0.5896991381737691,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7539699138173769,0.7539699138173769
meningitis,Meningitis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5780164680126842,0.5780164680126842,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7528016468012684,0.7528016468012684
menkes disease,Menkes Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7097481098669732,0.7097481098669732,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7659748109866973,0.7659748109866973
menopause,Menopause,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7383101808530892,0.7383101808530892,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7688310180853088,0.7688310180853088
menstrual disorders,Menstrual Disorders,2,"Pitta | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.28825378403927704,0.6538721041494746,0.6538721041494746,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6883872104149474,0.6883872104149474
mental health disorders,Mental Health Disorders,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7065513232037002,0.7065513232037002,1.0,not yet verified,0.0,not manually reviewed,0.5,0.76565513232037,0.76565513232037
mental stress,Mental Stress,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7422176698482308,0.7422176698482308,1.0,not yet verified,0.0,not manually reviewed,0.5,0.769221766984823,0.769221766984823
metabolic syndrome,Metabolic Syndrome,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.471199576468988,0.471199576468988,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7421199576468988,0.7421199576468988
miller dieker syndrome,Miller-Dieker Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6766393649862026,0.6766393649862026,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7626639364986202,0.7626639364986202
mitochondrial myopathy,Mitochondrial Myopathy,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.611623750519279,0.611623750519279,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7561623750519278,0.7561623750519278
monkeypox,Monkeypox,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4155341124888047,0.4155341124888047,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7365534112488804,0.7365534112488804
